latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,isBrakingToAvoid
51.999752,-0.454896,-0.10,0.00,0.51,0.27,0.00,0.00,0.51,0.27,0,2021-08-11 17:28:06.343,2021-08-11 18:28:06.342,16,0,0,15.140,51.999751,-0.454899,0.10,0.40,-0.30,4.80,-1.90,68.90,0,1,0,50,100,-3481,2151,15140,3161.00,3,P-GPS,1,1,0,1,87,0,0,1628702886342,3790,3784,3822,3808,0,0,4,Litchi_4.18.0-g,Airspeed Phantom 3 Pro,03Z1361171,078JBS7306,6171163421965,2016-01-18,809,4303,18482,-48.00,-19.00,689.00,0.00,0.00,703.00,6,-1.00,5.10,2.71,1.00,4.00,-3.00,0,,,100,100,19,2,0,0,0,2,0,,,,null,0.0,0.0,-1
51.999753,-0.454895,0.00,0.70,0.44,0.33,0.00,0.00,0.51,0.33,96,2021-08-11 17:28:06.438,2021-08-11 18:28:06.438,15,0,0,15.140,51.999751,-0.454899,0.10,0.30,-0.30,5.50,-1.50,68.70,0,1,0,50,100,-3481,2151,15140,3161.00,3,P-GPS,1,1,0,0,294,0,0,1628702886438,3790,3784,3822,3808,0,0,4,,,,,,,0,0,0,-55.00,-15.00,687.00,0.00,0.00,702.00,6,0.00,4.36,3.28,1.00,3.00,-3.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
51.999753,-0.454894,0.00,0.70,0.57,0.36,0.00,0.00,0.57,0.36,205,2021-08-11 17:28:06.547,2021-08-11 18:28:06.547,15,0,0,15.140,51.999751,-0.454899,0.20,0.20,-0.50,5.60,-0.70,68.60,0,1,0,50,100,-3481,2151,15140,3161.00,3,P-GPS,1,1,0,0,317,0,0,1628702886547,3790,3784,3822,3808,0,0,4,,,,,,,0,0,0,-56.00,-7.00,686.00,0.00,0.00,701.00,6,0.00,5.74,3.57,2.00,2.00,-5.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
51.999753,-0.454894,0.00,0.80,0.85,0.40,0.00,0.00,0.85,0.40,301,2021-08-11 17:28:06.643,2021-08-11 18:28:06.643,15,0,0,15.140,51.999751,-0.454899,0.20,0.20,-0.80,5.40,0.10,68.50,0,1,0,50,100,-3481,2151,15140,3161.00,3,P-GPS,1,1,0,0,317,0,0,1628702886643,3790,3784,3822,3808,0,0,4,,,,,,,0,0,0,-54.00,1.00,685.00,0.00,0.00,701.00,6,0.00,8.49,4.00,2.00,2.00,-8.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
51.999753,-0.454894,0.00,0.90,1.12,0.43,0.00,0.00,1.12,0.43,423,2021-08-11 17:28:06.766,2021-08-11 18:28:06.765,15,0,0,15.140,51.999751,-0.454899,0.20,0.10,-1.10,5.50,0.80,68.50,0,1,0,50,100,-3481,2151,15140,3161.00,3,P-GPS,1,1,0,0,303,0,0,1628702886765,3790,3784,3822,3808,0,0,4,,,,,,,0,0,0,-55.00,8.00,685.00,0.00,0.00,700.00,6,0.00,11.22,4.31,2.00,1.00,-11.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
51.999754,-0.454893,0.40,1.00,1.44,0.51,0.40,0.40,1.44,0.51,589,2021-08-11 17:28:06.932,2021-08-11 18:28:06.931,15,0,0,14.879,51.999751,-0.454899,0.30,0.10,-1.40,6.30,1.50,69.20,0,1,0,50,100,-7883,2108,14879,3161.00,3,P-GPS,1,1,0,0,188,0,0,1628702886931,3790,3784,3822,3808,0,0,4,,,,,,,0,0,0,-63.00,15.00,692.00,0.00,0.00,699.00,6,4.00,14.35,5.06,3.00,1.00,-14.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
51.999754,-0.454893,0.50,1.10,1.24,0.54,0.50,0.50,1.44,0.54,694,2021-08-11 17:28:07.036,2021-08-11 18:28:07.036,15,0,0,14.879,51.999751,-0.454899,0.30,0.10,-1.20,6.00,2.10,69.50,0,1,0,50,100,-7883,2108,14879,3161.00,3,P-GPS,1,1,0,0,118,0,0,1628702887036,3790,3784,3822,3808,0,0,4,,,,,,,0,0,0,-60.00,21.00,695.00,0.00,0.00,699.00,6,5.00,12.41,5.42,3.00,1.00,-12.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
51.999755,-0.454893,0.60,1.20,0.86,0.59,0.60,0.60,1.44,0.59,790,2021-08-11 17:28:07.133,2021-08-11 18:28:07.132,15,0,0,14.879,51.999751,-0.454899,0.30,0.10,-0.80,6.70,3.10,69.80,0,1,0,50,100,-7883,2108,14879,3161.00,3,P-GPS,1,1,0,0,91,0,0,1628702887132,3790,3784,3822,3808,0,0,4,,,,,,,0,0,0,-67.00,31.00,698.00,0.00,0.00,699.00,6,6.00,8.60,5.86,3.00,1.00,-8.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
51.999755,-0.454893,0.70,1.20,0.68,0.62,0.70,0.70,1.44,0.62,892,2021-08-11 17:28:07.234,2021-08-11 18:28:07.234,16,0,0,14.879,51.999751,-0.454899,0.30,0.10,-0.60,7.40,3.80,69.90,0,1,0,50,100,-7883,2108,14879,3161.00,3,P-GPS,1,1,0,0,114,0,0,1628702887234,3790,3784,3822,3808,0,0,4,,,,,,,0,0,0,-74.00,38.00,699.00,0.00,0.00,699.00,6,7.00,6.78,6.22,3.00,1.00,-6.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
51.999755,-0.454892,0.70,1.30,0.46,0.65,0.70,0.70,1.44,0.65,994,2021-08-11 17:28:07.337,2021-08-11 18:28:07.336,16,0,0,14.879,51.999751,-0.454899,0.20,0.10,-0.40,7.40,4.00,69.90,0,1,0,50,100,-7883,2108,14879,3161.00,3,P-GPS,1,1,0,1,48,0,0,1628702887336,3790,3784,3822,3808,0,0,4,,,,,,,0,0,0,-74.00,40.00,699.00,0.00,0.00,699.00,6,7.00,4.58,6.52,2.00,1.00,-4.00,0,,,100,100,19,2,0,0,0,2,0,,,,,0.0,0.0,-1
